2026-04-16 23:11:44.979 [info] [Auth] AntigravityAuthMainService initialized
2026-04-16 23:12:21.040 [info] [Auth] Localhost server listening on port 36497
2026-04-16 23:12:21.047 [info] [Auth] Login URL:  https://accounts.google.com/o/oauth2/v2/auth?access_type=offline&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fcloud-platform%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fcclog%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fexperimentsandconfigs&state=a4971711-614f-49dc-bdea-e3d613250e2d&prompt=consent&response_type=code&client_id=1071006060591-tmhssin2h21lcre235vtolojh4g403ep.apps.googleusercontent.com&redirect_uri=http%3A%2F%2Flocalhost%3A36497%2Foauth-callback
2026-04-16 23:12:41.154 [info] [Auth] Localhost server stopped
2026-04-16 23:12:41.162 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 00:07:43.166 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 01:02:42.284 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 01:46:44.951 [error] [Auth] Error refreshing user status: request to https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist failed, reason: getaddrinfo EAI_AGAIN daily-cloudcode-pa.googleapis.com
2026-04-17 01:51:44.886 [error] [Auth] Error refreshing user status: request to https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist failed, reason: getaddrinfo EAI_AGAIN daily-cloudcode-pa.googleapis.com
2026-04-17 19:39:23.231 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 19:39:25.691 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 20:34:28.738 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 21:29:33.898 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 22:25:20.412 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-17 23:20:20.719 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 00:15:20.134 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 01:10:20.143 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 02:05:20.160 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 11:22:03.221 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 11:22:07.253 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 12:18:00.617 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 13:20:38.927 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 13:20:42.898 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 18:37:26.470 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 18:37:30.569 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 19:39:50.366 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 20:34:52.678 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 22:56:08.409 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 22:56:11.048 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-18 23:52:05.803 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-19 00:47:05.853 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-19 01:42:05.849 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-19 02:37:06.311 [info] OAuth token changed, executing antigravity.handleAuthRefresh
